CBPID,FAID,AUID,HHID,SAMKey
677509896,249412545,177783240,177783240,2330000637481
677510352,249417106,177594828,177594828,2330000338703
677510568,249419268,177199204,177199204,2330000290155
677510977,249423351,2024680299,2024680299,2330001042011
677511992,249433509,2010429715,2010429715,2330000223473
677512517,249438557,175115743,175115743,2330000659722
677512465,249439290,172681227,172681227,2330000380877
677512657,249440728,2044882386,2044882386,2330001206707
677513956,249453713,172761810,172761810,2330000068200
677514323,249456815,174504806,174504806,2330000305638
677516026,249473422,181458879,181458879,2330000697605
677516032,249473489,2024690336,2024690336,2330000434562
677515973,249473745,175279773,175279773,2330000102729
677516185,249475435,177268293,177268293,2330000557746
677516704,249480625,172681227,172681227,2330000380877
677517105,249484635,175631690,175631690,2330000487499
677517224,249485822,173527395,173527395,2330000092832
677517768,249491267,174550757,174550757,2330000113091
677518267,249496258,2063967155,2063967155,2330001358954
677518318,249496761,2042859487,2042859487,2330001177153
677518778,249500083,174253527,174253527,2330000333821
677518722,249500794,177898681,177898681,2330000167962
677518613,249500984,2021740984,2021740984,2330001017184
677519001,249503590,173002953,173002953,2330000354002
677519122,249504804,181842212,181842212,2330000502814
677519819,249511726,2042884713,2042884713,2330001134236
677520213,249515669,173853299,2008942995,2330000636610
677520552,249519059,2044294931,2044294931,2330001233331
677520925,249522780,2018023622,2018023622,2330000753736
677521854,249532078,2020203911,2020203911,2330000661481
677523002,249543554,2020527969,2020527969,2330001002917
677523102,249544552,2039542218,2039542218,2330001087030
677524324,249556770,2020203911,2020203911,2330000661481
677509408,249407651,2008503898,2008503898,2330000520092
677509496,249408493,174595869,174595869,2330000171558
677509723,249410879,173289870,173289870,2330000679859
677510113,249414715,2045055000,2045055000,2330001254323
677510928,249422866,174744302,174744302,2330000070117
677511293,249426370,2045300635,2045300635,2330001201698
677511924,249432824,172632854,172632854,2330000764870
677512016,249433749,178057261,178057261,2330000765920
677512623,249439811,2009950988,2009950988,2330000719963
677513354,249447129,178430589,178430589,2330000700778
677513378,249447368,175851365,175851365,2330000701380
677513427,249447855,2034373002,2034373002,2330001052231
677514006,249453358,174160769,174160769,2330000327028
677513971,249453861,174823435,174823435,2330000184048
677514075,249454331,172722022,172722022,2330000535986
677514088,249454463,178275770,178275770,2330000498703
677514508,249458662,173302495,173302495,2330000036678
677514980,249463381,2008604739,2008604739,2330000866799
677515040,249463985,173914290,173914290,2330000371339
677515297,249466558,174038529,2020314931,2330000169088
677515462,249468208,2044224505,2044030849,2330001194751
677515817,249472176,180778207,180778207,2330000567647
677515881,249472390,2063850219,2063850219,2330001133100
677516078,249474362,175999995,175999995,2330000055183
677516903,249482613,2023900055,2023900055,2330000671032
677517429,249487877,174039115,2034748491,2330000221326
677518214,249495722,177336578,177336578,2330000663801
677518353,249497116,175293278,175293278,2330000629780
677518534,249498924,172933945,172933945,2330000216277
677518793,249500232,2039434355,2039434355,2330001123044
677518905,249502634,2019469068,2019469068,2330000714868
677518941,249502998,2021989873,2021989873,2330000959274
677519027,249503855,2026023023,2026023023,2330000139722
677520529,249518820,2008284521,2008284521,2330000682044
677520823,249521766,173289870,173289870,2330000679859
677520926,249522798,2042805807,2042805807,2330001132890
677520928,249522814,177584540,177584540,2330000147850
677521948,249533019,2037793273,2037793273,2330000649811
677522149,249535022,172173522,172173522,2330000007453
677524035,249553884,2045500723,2045500723,2330001157641
677509661,249410192,172235583,172235583,2330000115150
677511664,249430224,178121575,178121575,2330000256877
677512146,249435041,172888113,172888113,2330000005888
677512259,249436171,173014388,2036320621,2330000033995
677512282,249436403,2039629931,2039629931,2330001122941
677512901,249442591,2009807533,2009807533,2330000864376
677512969,249443276,177584540,177584540,2330000147850
677513121,249444795,178716300,178716300,2330000125385
677513373,249447319,175798493,175798493,2330000606744
677513655,249450131,177268293,177268293,2330000557746
677513685,249450438,2044905211,2044905211,2330001192582
677513868,249452269,174451853,174451853,2330000591328
677513942,249453002,174141861,2022667745,2330000687836
677513997,249453267,172141872,172141872,2330000694324
677514262,249456203,175538037,175538037,2330000638000
677514389,249457474,185730012,185730012,2330000782558
677514539,249458977,177044532,177044532,2330000747196
677514672,249460304,177594828,177594828,2330000338703
677514942,249463001,176988139,2022669422,2330000469376
677515822,249472226,2021472222,2021472222,2330000730872
677516021,249473372,176429461,176429461,2330000700941
677515984,249473851,2045457506,2045457506,2330001283264
677516085,249474438,176681347,176681347,2330000740571
677516270,249476284,2044917755,2044917755,2330001192599
677517053,249484114,2044696888,2044696888,2330001233246
677517064,249484221,2042735521,2042735521,2330001173607
677517476,249488347,2042436260,2042436260,2330001157564
677517479,249488370,172559434,172559434,2330000066724
677518254,249496126,176545074,176545074,2330000563595
677518343,249497017,2039811985,2039811985,2330001132493
677518359,249497173,174117795,174117795,2330000049692
677518399,249497579,2008803278,2008803278,2330000870825
677518490,249498486,174138676,174138676,2330000259725
677518586,249499443,174593215,174593215,2330000674206
677518741,249499716,173963918,2035931174,2330000542214
677518916,249502741,2039468850,2039468850,2330001122940
677519040,249503988,2039629931,2039629931,2330001122941
677519997,249513508,173026056,173026056,2330001031289
677520117,249514704,2010153022,2010153022,2330000324624
677521857,249532102,172705245,172705245,2330000342825
677523276,249547233,176255925,176255925,2330000177347
677509433,249407859,177087873,177087873,2300000211383
677509646,249410044,2021472222,2021472222,2330000730872
677510620,249419789,173872410,173872410,2330000198939
677511260,249426180,177710161,177710161,2330000728707
677511552,249429101,2037793273,2037793273,2330000649811
677511647,249430059,180549316,180549316,2330000364515
677511675,249430331,178464045,178464045,2330000541580
677512095,249434531,176681347,176681347,2330000740571
677512685,249440231,178162062,178162062,2330000713483
677512783,249441411,2045055000,2045055000,2330001254323
677512830,249441882,172465671,172465671,2330000247737
677513562,249449208,178130629,178130629,2330000736423
677513821,249451790,175354180,175354180,2330000671030
677513905,249452632,172966666,177716209,2330000020504
677514012,249453416,172141872,172141872,2330000694324
677514106,249454646,2009594913,2009594913,2330000081767
677514125,249454836,2045595160,2045595160,2330001254458
677514155,249455130,178771108,178771108,2330000185653
